domain,cluster,outcome_id,text
Data,Foundational Data Skills,1,"Explain what data are, where they come from in your work, and why quality and context matter for sound decisions."
Data,Foundational Data Skills,2,"Read common charts, tables and dashboards accurately - identifying trends, limitations and misleading presentation."
Data,Foundational Data Skills,3,"Apply basic good practice across the data lifecycle (collect, store, share, retain, dispose) in line with organisational policy."
Data,Foundational Data Skills,4,Describe how your role contributes to responsible data use and recognise when specialist advice is needed.
Data,Data Quality and Integrity,1,"Assess whether data are fit for purpose (accuracy, completeness, timeliness, representativeness) and document known limitations."
Data,Data Quality and Integrity,2,"Apply ethical and legal principles when collecting, using and sharing data - including privacy, security and fair treatment."
Data,Data Quality and Integrity,3,"Use agreed data standards, definitions and metadata so information stays consistent and interoperable."
Data,Data Quality and Integrity,4,Challenge poor-quality or inappropriate data use constructively and escalate issues through the right channels.
Data,Data-Driven Decision Making,1,Frame clear questions that data can help answer and identify what evidence would strengthen a decision.
Data,Data-Driven Decision Making,2,"Apply appropriate analytical approaches to explore patterns, test assumptions and surface actionable insight."
Data,Data-Driven Decision Making,3,Communicate findings accessibly - separating fact from interpretation and stating uncertainty honestly.
Data,Data-Driven Decision Making,4,Recommend evidence-based actions and explain trade-offs when data are incomplete or inconclusive.
Data,Responsible Data Sharing,1,Identify opportunities to share or reuse data that deliver public benefit while respecting legal and ethical duties.
Data,Responsible Data Sharing,2,"Apply proportionate governance - agreements, access controls and audit - when collaborating across boundaries."
Data,Responsible Data Sharing,3,Assess re-identification and misuse risks before sharing and choose safer alternatives where risks are high.
Data,Responsible Data Sharing,4,"Work effectively with data owners, legal and security colleagues to enable lawful, ethical reuse."
AI,Foundational AI Skills,1,"Explain in plain language what AI and automation are, including common types (e.g. prediction, classification, generative AI), how they differ from conventional software, and common limitations."
AI,Foundational AI Skills,2,Recognise where AI could improve efficiency or outcomes - and where human judgement must remain central.
AI,Foundational AI Skills,3,"Know which AI tools are approved for your work, what data can safely be shared with them, and follow organisational guidance when using them."
AI,Foundational AI Skills,4,"Spot when a prompt or task carries a safety risk, adjust or stop before proceeding, and escalate concerns to the right person when something feels wrong."
AI,Foundational AI Skills,5,"Identify unreliable AI output and know when to verify, reject or escalate before acting on results."
AI,AI Governance and Ethics,1,"Critically evaluate AI outputs for accuracy, bias and fitness for purpose before acting on or sharing them."
