domain,cluster,strand,definition
Digital,Foundational Digital Skills,Using digital tools effectively,"Uses the software, platforms and online tools needed for modern workplace tasks - including communicating, collaborating, managing information and working securely - with confidence and good judgement in any work setting."
Digital,Foundational Digital Skills,Choosing the right digital tools,"Selects the right tool for the task - from everyday choices about how to share or collaborate on a piece of work, through to contributing to team standards and organisational procurement decisions."
Digital,Foundational Digital Skills,Creating accessible digital content,"Creates and shares digital content and communications that everyone can use, applying accessibility standards and meeting legal requirements to support clear, user-friendly digital experiences for all."
Digital,Responsible Information Practices,Handling information accurately and responsibly,"Ensures the information you work with is accurate, current and well-managed - knowing where it came from, keeping it appropriately organised and protected, and disposing of it correctly when it is no longer needed."
Digital,Digital Transformation,Focusing on users,Understands the needs of the people your work affects and uses that understanding to improve how services and processes are designed and delivered.
Digital,Digital Transformation,Making digital services work for everyone,"Ensures digital public services work for everyone who needs them, reflecting the diverse needs, backgrounds and circumstances of all users and applying government guidance on inclusive design."
Digital,Digital Leadership,Leading in a digital age,"Shapes how your team uses technology to work better and deliver more - championing digital, data and AI approaches, managing change confidently and building the capability and confidence of others."
Data,Foundational Data Skills,Data literacy,"Builds the foundational understanding, skills and behaviours needed to work confidently and responsibly with data, recognising that evidence-based decisions lead to better outcomes."
Data,Foundational Data Skills,Interpreting visual data,"Reads charts, graphs and other visual representations of data to extract meaning, identify patterns and support clear communication of evidence."
Data,Foundational Data Skills,Managing data lifecycles,"Handles data responsibly through each stage of its lifecycle - from collection and storage through to sharing, retention and disposal - following good practice to keep data secure, accurate and useful."
Data,Data Quality and Integrity,Ensuring data quality,"Reviews and improves data to ensure they are accurate, representative and fit for purpose, helping teams to make reliable decisions and maintain trust in information."
Data,Data Quality and Integrity,Handling data ethically and lawfully,"Collects, uses and shares data fairly, securely and in line with laws and ethical principles, recognising that legal compliance is the minimum standard and that ethical obligations go further."
Data,Data Quality and Integrity,Applying data standards,"Uses agreed rules and formats to keep data consistent and interoperable, supporting effective data use, openness and collaboration across the Civil Service."
Data,Data-Driven Decision Making,Analysing data,"Uses data and analytical tools and techniques to find patterns, draw insights and support evidence-based decisions that improve outcomes."
Data,Responsible Data Sharing,Collaborating with data,"Works with other teams and organisations to share and reuse data safely and ethically, helping to create collaborative insight, efficiency and improvement."
Innovation,Conditions for Innovation,Psychological safety and adaptability,"Creates the conditions for colleagues to share ideas, try new approaches and learn from failure, building a team environment where experimentation and honest reflection are normal."
Innovation,Understanding the Problem,Identifying innovation opportunities,"Spots where innovation is most likely to make a real difference, using evidence and user insight to distinguish genuine opportunities from novelty for its own sake."
Innovation,Doing the Work,Using the innovation lifecycle,"Applies the stages of the innovation lifecycle - from identifying a problem through to testing, refining and deciding whether to scale, stop or adapt - with appropriate rigour at each stage."
Innovation,Doing the Work,Testing and prototyping,"Tries out ideas on a small scale first, using prototypes, pilots and minimum viable products to learn quickly and reduce risk before committing to larger investment."
Innovation,Doing the Work,Storytelling and advocacy,"Communicates ideas for change in a way that genuinely persuades different audiences, framing evidence and impact so that decision-makers, colleagues and users understand why it matters."
Innovation,Making Change Stick,Continuous improvement,"Treats improvement as an ongoing habit, regularly reviewing how work is done and making evidence-based changes to processes, services and outcomes."
Innovation,Making Change Stick,Embedding innovation at scale,"Supports the adoption and spread of new approaches beyond a pilot or team, sustaining commitment and adapting what worked locally so it works more widely."
AI,Foundational AI Skills,AI literacy,"Builds foundational understanding of what AI is, how it works and what it can and cannot do across machine learning, automation and generative AI, and develops the practical skills needed to specify inputs, use tools effectively and work critically with outputs in everyday work."
AI,Foundational AI Skills,Assessing AI opportunities,"Identifies where AI and automation could add genuine value, and recognises the limitations and risks that could make AI unsuitable."
AI,Foundational AI Skills,Using AI safely,"Uses AI tools and automation safely in everyday work - knowing which tools are approved, what data can be shared with them, spotting when a prompt or task carries risk, and escalating when something feels wrong."
AI,AI Governance and Ethics,Interpreting AI outputs,"Develops the skills and behaviours needed to check, interpret and communicate AI outputs critically and honestly - maintaining human judgment and transparency rather than deferring uncritically to AI recommendations."
AI,AI Governance and Ethics,Applying AI governance,"Understands and applies the legal, regulatory and compliance frameworks that govern AI use in public services - including identifying and responding to governance risks."
AI,AI Governance and Ethics,Using AI responsibly and ethically,"Applies ethical principles to AI use in public services - including fairness, transparency to citizens, public benefit and consideration of wider societal and environmental impact - grounded in the Data and AI Ethics Framework and UK AI regulatory principles."
